Date,Open,High,Low,Close,Volume
2012-04-24,58.7043,58.9364,58.2311,58.4831,54915707.854829
2012-04-25,59.6886,60.0751,59.6059,60.0373,63663416.814684
2012-04-26,60.0093,60.5264,59.9487,60.392,46249546.632468
2012-04-27,60.645,60.9419,60.3292,60.7516,50920315.375723
2012-04-30,60.5584,60.6958,60.2774,60.3222,41817862.465843
2012-05-01,60.2475,61.1073,60.1668,60.4189,41657030.393498
2012-05-02,60.0831,60.636,59.9755,60.5912,40788308.353261
2012-05-03,60.6261,60.672,59.7942,59.9487,56778808.421944
2012-05-04,59.4056,59.9487,58.4453,58.4542,119024800.19355
2012-05-07,58.1085,58.7919,58.0895,58.5099,55317170.242194
2012-05-08,58.1354,58.4921,57.3553,58.2937,79965988.416481
2012-05-09,57.6154,58.4373,57.3812,58.1165,94862318.492849
2012-05-10,58.3775,58.3945,57.7807,57.9989,54720398.790236
2012-05-11,57.7708,58.6017,57.7458,57.9889,52131651.334506
2012-05-14,57.4928,57.8963,57.3553,57.445,51304391.217346
2012-05-15,57.6342,58.0726,57.157,57.2566,73989993.155508
2012-05-16,57.4828,57.6252,56.7505,56.8691,58454573.525632
2012-05-17,56.8691,56.9777,55.6566,55.6666,52320308.705377
2012-05-18,55.827,55.9814,54.8975,54.9433,87975363.388184
2012-05-21,55.0419,56.5333,54.9801,56.4795,67985217.048637
2012-05-22,56.6111,56.8781,56.0093,56.4188,69665137.578913
2012-05-23,55.9526,56.6579,55.4504,56.5244,62996788.024622
2012-05-24,56.6111,56.6579,55.7363,56.1548,59419642.242888
2012-05-25,56.2096,56.3072,55.9186,56.079,35508386.191284
2012-05-29,56.5861,57.0564,56.2723,56.7963,48939068.201615
2012-05-30,56.2823,56.5164,55.7264,56.3162,62448946.218888
2012-05-31,56.2464,56.3919,55.6536,56.068,61148505.46783
2012-06-01,55.0857,55.4025,54.5637,54.5826,79044373.015141
2012-06-04,54.7261,55.0777,54.2498,54.9971,81923400.103823
2012-06-05,54.7978,55.3289,54.7799,55.2243,52997058.067008
2012-06-06,55.6586,56.5363,55.5968,56.4915,51657206.005559
2012-06-07,57.0693,57.0883,56.2215,56.2663,42483685.263743
2012-06-08,56.1657,56.8821,55.9824,56.8083,43974256.855776
2012-06-11,57.2377,57.2666,55.81,55.8469,56435325.276485
2012-06-12,56.101,56.5533,55.7284,56.5283,54003800.493578
2012-06-13,56.365,56.7913,55.9466,56.1378,56260254.343853
2012-06-14,56.1448,56.5692,55.837,56.345,72115633.79128
2012-06-15,56.4825,57.1251,56.4726,57.0445,45855014.974716
2012-06-18,56.8263,57.7239,56.7157,57.5744,35537461.128967
2012-06-19,57.8664,58.4213,57.8216,58.1763,40274434.650577
2012-06-20,58.2839,58.4711,57.7867,58.2201,56741752.857013
2012-06-21,58.1513,58.238,56.7077,56.7745,46911582.371305
2012-06-22,56.9438,57.442,56.8083,57.3682,32580940.353029
2012-06-25,56.9069,56.9139,56.101,56.2663,29401855.33047
2012-06-26,56.4467,56.7815,56.2036,56.6151,33781790.383894
2012-06-27,56.8363,57.2168,56.7745,56.9627,39412773.824362
2012-06-28,56.5283,56.5712,55.7284,56.3281,54969803.679954
2012-06-29,57.3872,58.1055,57.2427,58.1055,49428709.945673
2012-07-02,58.1683,58.3007,57.8395,58.2739,36915788.024236
2012-07-03,58.3007,58.765,58.2201,58.765,17552011.015694
2012-07-05,58.6654,59.0918,58.3935,58.8009,40882065.416609
2012-07-06,58.5469,58.5817,57.6412,58.0696,44913933.306885
2012-07-09,57.9869,58.1921,57.6681,57.958,39343116.227778
2012-07-10,58.2549,58.4213,57.162,57.3872,52270901.285468
2012-07-11,57.3174,57.4708,56.5981,57.0693,47900489.586507
2012-07-12,56.6439,56.7745,56.0192,56.5363,63667123.575649
2012-07-13,56.6529,57.5236,56.6529,57.3972,35730953.449084
2012-07-16,57.2716,57.5236,57.0076,57.2337,30502565.602896
2012-07-17,57.5744,57.7239,56.7157,57.5336,46894697.688677
2012-07-18,57.415,58.4851,57.4061,58.3137,49110444.417998
2012-07-19,58.7212,59.1446,58.6106,58.9553,58526934.156951
2012-07-20,58.9454,58.9553,58.1513,58.1763,44792879.908733
2012-07-23,57.0534,57.6681,56.6071,57.4708,53719600.430397
2012-07-24,57.5754,57.6502,56.6419,57.0155,63210933.015633
2012-07-25,56.5891,57.0076,56.2853,56.6349,51087776.056085
2012-07-26,57.451,57.715,57.0245,57.3872,46300693.509932
2012-07-27,57.8056,58.8527,57.6312,58.7481,47066394.093726
2012-07-30,58.8716,59.1446,58.5,58.7033,41755746.868145
2012-07-31,58.784,59.028,58.6285,58.6833,38197993.07716
2012-08-01,59.0918,59.1188,58.2739,58.509,34134830.006783
2012-08-02,58.0527,58.8816,57.8754,58.3007,44763506.86436
2012-08-03,59.2084,59.6627,59.037,59.4066,46508438.742505
2012-08-06,59.7185,60.1219,59.588,59.8589,25976368.567071
